Hebrew,English
לא,No
את,You
אני,I am
זה,It
אתה,are you
מה,what
הוא,he
על,On
לי,to me
של,of
כן,Yes
לך,to you
אבל,but
יש,there is
שלי,My
כל,all
בסדר,OK
עם,With
היא,She
שלך,your
אם,If
טוב,are good
היה,Was to
אנחנו,we
רוצה,wants to
אז,Then
יודע,Know
רק,only
הם,they
יכול,Can
אותו,him
אותך,you
יותר,More
ג,third
כאן,Here
אותי,me
הזה,this
שאני,That I
למה,Why
להיות,to be
עכשיו,now
או,or
אחד,one
משהו,something
היי,Hi
צריך,Should
כמו,same as
אל,to
כך,so
איך,how
אין,nothing
נכון,Right
לעשות,to do
תודה,Thanks
לו,to him
לנו,us
שאתה,That you
מי,who will
זאת,this
שם,Name
חושב,thinking
כדי,In order to
שהוא,that he
כמה,Some
פשוט,simple
יודעת,Knows
אותה,her
אולי,Maybe
באמת,really
כי,Because
הייתי,I was
שזה,of such
גם,also
זו,this
עושה,is doing
האם,the mother
ואני,And I
דבר,Nothing
שלו,His
עוד,More
כבר,already
שלא,Not
נראה,seen
שלנו,our
מאוד,is very
לפני,before
הרבה,Much
בבקשה,you are welcome
הולך,Going
קדימה,forward
אומר,Saying
יהיה,will be
יכולה,Can
פעם,time
זמן,time
אתם,you
עדיין,Still
עד,Until
ממש,really
אלוהים,God
ובכן,Well
איפה,where
לה,her
קצת,Some
מישהו,someone
אותם,them
לעזאזל,Damn
אה,Ah
לראות,See
הנה,here
הייתה,was
פה,Here
אבא,father
הכל,Everything
ללכת,go
בכל,in all
שהיא,That she
צריכה,consumption
בדיוק,exactly
אנשים,people
אף,Nose
לדבר,Speak
חייב,have to
שוב,again
חשבתי,I thought
היית,You were
היום,Today
שיש,That
מצטער,Sorry
מר,Mr
צריכים,Need
בוא,Come
היו,there were
שאת,That you
חושבת,Thinking
קרה,Happened
אחת,One
לזה,To that
שלה,its
אמא,mother
אוהב,Love
שום,garlic
אחר,Other
אפילו,Even
ה,God
אדוני,The lord
תמיד,Always
יכולים,can
יום,a day
חבר,Member
להם,to them
בטוח,Sure
בגלל,Because
שלום,Peace
ואז,and then
בטח,Probably
קורה,Happens
האלה,these
אחרי,after
שהם,that they
מדי,every
רואה,Views
הזאת,this
הזמן,the time
כולם,Everyone
איתך,with your
אמר,said
רגע,moment
צ,Cp
בן,son
ו,and
שאנחנו,We
אמרתי,I said
איזה,Which
בו,at him
אדם,A person
תראה,Look
דברים,Stuff
מבין,Understand
טובה,favor
בשביל,For
בזה,plunder
דרך,way
אוקיי,Okay
לעזור,help
אותנו,us
בבית,At home
בואו,Come
מספיק,enough
הו,Oh
תהיה,Would be
הכי,the most
הדבר,the thing
תן,Let
י,To
ב,B
לדעת,know
כלום,is nothing
מקום,Place
כזה,such a
לקחת,to take
מזה,from this
לכם,to you
מתכוון,Mean
ככה,So
ביותר,most
אוכל,Food
איתי,With me
יודעים,Know
אפשר,Allow
ר,R
וזה,and this
לומר,to tell
ל,To
כאילו,like
קשה,Hard
לכאן,Here
הביתה,Home
עליי,About me
להגיד,say
שנים,Years
מת,dead
די,enough
למצוא,find
גדול,big
היתה,was
שני,Crimson
בלי,without
מצטערת,Sorry
אנו,we
אלה,goddess
שלהם,their
לקבל,Get
הזו,This
יפה,Beautiful
ראיתי,I seen
מנסה,Trying
כמובן,of course
מותק,honey
מדבר,Speak
ואתה,And you
נהדר,magnificent
עליו,To him
סליחה,Sorry
אוהבת,Loves
אך,but
אומרת,Saying
בואי,Come
לעולם,forever
ממני,from me
רוצים,Want
הלילה,Tonight
והוא,and he
הבחור,the guy
לתת,Give
האמת,The truth
אחי,Bro
ולא,And no
לשם,opal
עבור,for
תגיד,Say
בית,Home
אמרת,you said
ואת,and you
ד,D.
בי,Me
מעולם,Never
מכאן,hence
כסף,Of money
עבודה,Working
זהו,This
מוכן,prepared
ילד,Boy
נחמד,Nice
לכל,to all
בך,in you
עושים,Are doing
מרגיש,feels
רציתי,I wanted
עליך,You must
נמצא,available
אכפת,concern
ש,That
הולכים,Going
לצאת,to go out
כדאי,worthwhile
עובד,Employee
בדרך,through
חכה,Fishing rod
אי,an island
לאן,where
עשה,Made
איתו,With
מ,M
מהר,Faster
בזמן,While
ק,Km
נוכל,We can
לגבי,With regard to
נשמע,audible
עשית,You did
עשיתי,I did
בכלל,at all
דקות,subtlety
חייבת,must
שלכם,your
בשבילך,For you
אמור,supposed
מספר,A number
מכיר,Familiar
ללא,with no
מחר,tomorrow
לספר,tell
גברת,Mrs
לחזור,Return
בעיה,problem
רע,Bad
בא,come
נלך,We'll go
משנה,Mishna
ידעתי,I have known
מתי,When
חייבים,Owe
סוף,end
החיים,Life
להרוג,to kill
הן,they
ממך,from you
חלק,Part
מאמין,Believes
בחור,a guy
בחייך,Come on
במקום,instead of
גבר,man
זוכר,Remember
הולכת,Walking
הגיע,has come
הכול,It's all
תעשה,Do
מקווה,Hope
לב,heart
בחיים,alive
הבית,The house
המקום,the place
ידי,By
חיים,Haim
כל-כך,so much
איש,man
תוכל,will be able to
כנראה,Probably
האנשים,the people
כאשר,when are
היינו,We were
לבד,Own
כמעט,almost
עלי,pestle
מניח,assumes
הכסף,the money
נעשה,has been done
לילה,night
ע,P.
למעשה,in fact
דולר,dollar
שנה,sleep
שמעתי,I heard
תראי,Look
בטוחה,Safe
לגמרי,Completely
החוצה,outside
ילדים,Children
קטן,Little
הדברים,Things
חשוב,It is important
בין,between
שמח,happy
הבא,the next
הראשון,the first one
לבוא,come
לחשוב,to think
הדרך,the road
מאז,since
בחזרה,Back to
אמרה,saying
מאוחר,late
קודם,previous
העבודה,the job
אחרת,Other
מגיע,is coming
להגיע,to arrive
בה,in her
מבינה,Understand
ברור,Obviously
עצמך,yourself
בהחלט,Definitely
לאחר,after the
כלומר,That is
השני,The second
יחד,together
אוי,Oi
במשך,During
לפחות,at least
לשמוע,Listen
אהיה,I'll be
מוזר,mozar
ברגע,in the moment
לעבוד,work
אליי,To me
